internship_title,company_name,location,start_date,duration,stipend,Skills,Interests
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"₹ 30,000 /month",Database Management,Augmented Reality
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6 Months,"₹ 5,000-10,000 /month",Cybersecurity,Blockchain
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6 Months,"₹ 5,000 /month",Networking,Robotics
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6 Months,Unpaid,Java,Cybersecurity
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"₹ 12,000 /month",Web Development,Game Development
English Curriculum Writing,Team Everest,Work From Home,Immediately,6 Months,Unpaid,Cloud Computing,AI
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Web Development,AI
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6 Months,"₹ 7,000 /month",Data Analysis,Robotics
Graphic Design,Expedify,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month",Networking,Augmented Reality
Campus Ambassador,Internshala,Work From Home,Not specified,6 Months,₹2000,Java,Web 3.0
Customer Support Management,ClearTax,Bangalore,Immediately,6 Months,"₹ 30,000 /month",Machine Learning,Robotics
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,Machine Learning,AI
Office Operations,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,C++,Augmented Reality
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month",Web Development,Augmented Reality
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month",Web Development,Cybersecurity
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Cloud Computing,Data Science
Customer Success,ClearTax,Bangalore,Immediately,6 Months,"₹ 20,000 /month",UI/UX Design,Space Tech
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 1,500-2,500 /month",Web Development,Augmented Reality
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month",Cloud Computing,Game Development
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month",Web Development,Web 3.0
Product Management,Saregama India Limited,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month",Machine Learning,Open Source
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,Cybersecurity,Robotics
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,Cloud Computing,Space Tech
Law/Legal,Thomas Cook,Mumbai,Immediately,6 Months,"₹ 3,000 /month",C++,Game Development
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month",Cloud Computing,Blockchain
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,500 /month +  Incentives",Web Development,Open Source
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Performance Based,C++,IoT
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,Cloud Computing,AI
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,UI/UX Design,Open Source
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6 Months,"₹ 20,000 /month",Embedded Systems,Quantum Computing
Sales,Prolance,Bangalore,Immediately,6 Months,"₹ 5,000 /month",Cybersecurity,IoT
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month",Python,Robotics
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6 Months,"₹ 5,000 /month",C++,Open Source
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6 Months,"₹ 8,000 /month",Machine Learning,Cybersecurity
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6 Months,"₹ 12,000 /month",C++,IoT
Recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"₹ 4,500 /month",Python,Space Tech
Sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"₹ 14,000 /month",Cloud Computing,AI
UX Design,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month",Networking,IoT
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6 Months,"₹ 15,000 /month",Java,Blockchain
Law/Legal,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month",C++,Game Development
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6 Months,"₹ 4,000 /month",Cloud Computing,AI
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month",Machine Learning,Open Source
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000-20,000 /month",Networking,Web 3.0
Human Resources (HR),International SOS,Mumbai,Immediately,6 Months,"₹ 15,000 /month",Python,Cybersecurity
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6 Months,"₹ 25,000 /month",Python,Data Science
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"₹ 7,000-12,000 /month",Cloud Computing,Space Tech
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6 Months,"₹ 10,000 /month",Machine Learning,Web 3.0
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6 Months,Performance Based,Cybersecurity,Augmented Reality
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month",Database Management,Robotics
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Python,Quantum Computing
Sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-2,500 /month",Data Analysis,IoT
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3 Months,"₹ 20,000 /month",Cybersecurity,Space Tech
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 8,000-12,000 /month",Embedded Systems,Augmented Reality
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",UI/UX Design,Augmented Reality
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-8,000 /month",C++,Open Source
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,500 /month",C++,IoT
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3 Months,"₹ 15,000 /month",Machine Learning,AI
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",Networking,Robotics
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 4,000-10,000 /month",Cybersecurity,IoT
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-5,000 /month",Machine Learning,Web 3.0
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",Machine Learning,Augmented Reality
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",Cybersecurity,AI
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month",Java,Robotics
Resource Management,Techolution,Hyderabad,Immediately,3 Months,"₹ 15,000 /month",Python,Cybersecurity
Project Management,IIT Bombay,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month",Embedded Systems,Cybersecurity
Business Development,Ozzone Group,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Embedded Systems,Open Source
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3 Months,"₹ 15,000 /month",C++,Augmented Reality
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3 Months,"₹ 25,000 /month",Web Development,Quantum Computing
UI Design,Pepperfry,Mumbai,Immediately,3 Months,"₹ 20,000-25,000 /month",Web Development,Blockchain
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,000 /month",UI/UX Design,Open Source
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3 Months,"₹ 18,000 /month",Web Development,IoT
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3 Months,"₹ 12,000 /month",Embedded Systems,Cybersecurity
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"₹ 15,000 /month",Data Analysis,Game Development
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"₹ 4,000 /month",Database Management,Augmented Reality
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"₹ 8,000 /month",Cybersecurity,Robotics
Event Management,Times Internet,Noida,Immediately,3 Months,"₹ 10,000 /month",Python,Data Science
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"₹ 20,000 /month",Machine Learning,Game Development
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3 Months,"₹ 10,000 /month",Data Analysis,IoT
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3 Months,"₹ 20,000 /month",Networking,Web 3.0
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3 Months,"₹ 2,000 /month",Java,Open Source
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3 Months,"₹ 15,000 /month",UI/UX Design,Game Development
Customer Service,Ferns N Petals,Gurgaon,Not specified,3 Months,"₹ 15,000 /month",Cybersecurity,Space Tech
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3 Months,"₹ 15,000 /month",Machine Learning,Space Tech
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3 Months,"₹ 10,000 /month",Database Management,Robotics
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3 Months,"₹ 15,000 /month",Java,Space Tech
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3 Months,"₹ 12,000 /month",UI/UX Design,Robotics
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3 Months,"₹ 20,000 /month",Cloud Computing,Robotics
Fundraising,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,Java,AI
Recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,Cloud Computing,Space Tech
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,Cloud Computing,Blockchain
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,Data Analysis,Cybersecurity
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,"₹ 8,000 /month +  Incentives",Cybersecurity,Space Tech
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"₹ 5,000-8,000 /month",Cloud Computing,Quantum Computing
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,"₹ 15,000 /month",C++,Game Development
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month",Networking,Quantum Computing
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month",UI/UX Design,AI
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,Networking,Cybersecurity
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,"₹ 5,000 /month",Embedded Systems,Data Science
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based,Cybersecurity,IoT
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,"₹ 20,000 /month",Python,Open Source
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,"₹ 15,000 /month",Python,Cybersecurity
Resource Management,Techolution,Hyderabad,Immediately,1 Week,"₹ 15,000 /month",C++,Game Development
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,"₹ 7,000-10,000 /month",Web Development,Game Development
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,"₹ 15,000 /month",UI/UX Design,AI
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,"₹ 5,000 /month",Database Management,Augmented Reality
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,"₹ 10,000 /month",Cloud Computing,Blockchain
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid,C++,Cybersecurity
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,"₹ 12,000-15,000 /month",Java,Augmented Reality
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,UI/UX Design,Quantum Computing
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Python,Cybersecurity
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,"₹ 20,000 /month",Cloud Computing,Web 3.0
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,"₹ 3,000 /month",Web Development,Cybersecurity
Field Sales,LIC,Ahmedabad,Immediately,1 Week,"₹ 5,000 /month +  Incentives",Networking,Web 3.0
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,"₹ 5,000-10,000 /month",Cloud Computing,Cybersecurity
City Management,Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month",Cybersecurity,IoT
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,"₹ 1,000 /month",Cybersecurity,IoT
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,"₹ 5,000 /month",UI/UX Design,Blockchain
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Web Development,Cybersecurity
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,"₹ 8,000-10,000 /month",C++,IoT
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,"₹ 10,000 /month",Embedded Systems,Space Tech
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,"₹ 10,000 /month",Networking,Augmented Reality
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,"₹ 10,000 /month",Data Analysis,Data Science
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,"₹ 18,000-25,000 /month",Networking,Game Development
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,"₹ 5,000-10,000 /month",Cybersecurity,Space Tech
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,"₹ 5,000 /month",Cloud Computing,Game Development
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,"₹ 15,000 /month",Data Analysis,Data Science
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,"₹ 7,000-15,000 /month",Embedded Systems,Quantum Computing
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month",Machine Learning,Game Development
Operations,PcsInfinity,Delhi,Immediately,3 Months,"₹ 10,000 lump sum",Cybersecurity,Quantum Computing
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,"₹ 12,000 /month",C++,AI
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,"₹ 15,000 /month",Cloud Computing,Robotics
Content Writing,OfBusiness,Gurgaon,Immediately,4 Months,"₹ 20,000 /month",Cloud Computing,Space Tech
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4 Months,"₹ 15,000 /month",Java,Open Source
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4 Months,"₹ 15,000 /month",Cloud Computing,Game Development
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4 Months,"₹ 15,000 /month",Cybersecurity,Data Science
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,Data Analysis,IoT
Journalism,Press Trust Of India,Delhi,Immediately,4 Months,"₹ 20,000 /month",C++,Quantum Computing
Business Operations,Pristyn Care,Gurgaon,Immediately,4 Months,"₹ 8,000 /month",Cloud Computing,Open Source
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month",Java,Space Tech
Strategy and Research,Vedantu,Bangalore,Immediately,4 Months,"₹ 25,000-35,000 /month",Database Management,Space Tech
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,Machine Learning,Web 3.0
HR,AU Small Finance Bank,Mumbai,Immediately,4 Months,"₹ 2,000 /month",UI/UX Design,Cybersecurity
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4 Months,"₹ 10,000 /month",Cloud Computing,Blockchain
Web Maintenance,Tata Motors,Mumbai,Immediately,4 Months,"₹ 8,000 /month",Cloud Computing,Robotics
User Research,Leverage Edu,Noida,Immediately,4 Months,"₹ 10,000 /month",Machine Learning,Space Tech
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4 Months,"₹ 12,000 /month",Cybersecurity,Game Development
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4 Months,"₹ 5,000 /month",Web Development,Quantum Computing
Sales Administration,Fresenius Kabi,Pune,Immediately,4 Months,"₹ 20,000 /month",Embedded Systems,AI
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4 Months,"₹ 5,000-7,000 /month",Machine Learning,Data Science
Business Development (Sales),Urban Company,Patna,Immediately,4 Months,"₹ 20,000 /month",C++,AI
Human Resources (HR),SILA Group,Bangalore,Immediately,4 Months,"₹ 8,000 /month",Cybersecurity,Blockchain
